Date,Photosynthetic rate,Transpiration rate,Transpiration rate(gram),Total conductance,Solar radiation,Maximum solar radiation,Minimum solar radiation,Vapor pressure deficit,Maximum vapor pressure deficit,Minimum vapor pressure deficit,Vapor pressure deficit(gram),Maximum vapor pressure deficit(gram),Minimum vapor pressure deficit(gram),Temperature outside chamber,Maximum temperature outside chamber,Minimum temperature outside chamber,Temperature inside chamber,Maximum temperature inside chamber,Minimum temperature inside chamber,Relative humidity outside chamber,Maximum relative humidity outside chamber,Minimum relative humidity outside chamber,Relative humidity inside chamber,Maximum relative humidity inside chamber,Minimum relative humidity inside chamber,H2O concentration inside chamber(gram),Maximum H2O concentration inside chamber(gram),Minimum H2O concentration inside chamber(gram),CO2 concentration air sampling average,Maximum CO2 concentration air sampling average,Minimum CO2 concentration air sampling average,enable,reason
2019/10/23 01:00:00 JST,-0.9066741,0.046297709,0.000833359,7.926462046,0,0,0,5.837089526,6.114266719,5.402097244,4.375922782,4.580127175,4.053957187,20.27892723,20.5392924,20.00064912,20.24128007,20.47926316,19.94938596,72.97111221,74.73129825,71.92115789,75.08920984,76.51630702,74.27673684,13.18430816,13.24068415,13.12504239,450.9433862,457.1944444,446.5,TRUE,
2019/10/23 03:00:00 JST,-1.989918641,0.048353094,0.000870356,9.395669996,0,0,0,5.160612839,5.379031476,5.015606878,3.875588234,4.036820586,3.767433891,19.73776049,20.00177193,19.51350877,19.73278261,19.93677193,19.56109649,75.7710595,76.82676316,74.80648246,77.26447979,77.82426316,76.59838596,13.16941765,13.24375635,13.04983551,460.3961353,464.1111111,456.8611111,TRUE,
2019/10/23 05:00:00 JST,-3.421915579,0.075185753,0.001353344,15.98416641,0.001652555,0.038008772,0,4.742340061,5.062645902,4.463823222,3.566617644,3.804566784,3.359289618,19.25538101,19.48955263,19.08979825,19.3062704,19.5372807,19.12554386,78.10243898,79.06932456,76.94388596,78.5506476,79.57521053,77.42307018,13.05717306,13.09735786,13.02320403,465.6908213,468.75,464.2222222,TRUE,
2019/10/23 07:00:00 JST,0.30772357,0.165717226,0.00298291,32.01168248,49.01353115,165.8811404,0.195473684,4.872177408,6.876861904,4.311354525,3.649948118,5.096867728,3.245540062,20.3484297,24.13692982,18.99838596,20.23355505,23.51440351,19.03392105,78.15604539,79.63138596,72.16158772,79.37765802,80.1935,76.0684386,13.95876625,16.13196616,13.08888277,464.4480676,476.3888889,436,TRUE,
2019/10/23 09:00:00 JST,7.701715501,1.388243422,0.024988382,105.6017979,266.1652489,348.7304825,185.1027193,12.42778495,15.88604502,7.344775711,9.080718798,11.56655055,5.433760363,28.53448501,30.82383333,24.73201754,27.58748575,29.75542105,24.05187719,59.55413194,70.71800877,50.89038596,66.29054605,75.25426316,58.56678947,17.66032764,20.39552764,15.74652701,395.4027778,425.0555556,368.3888889,TRUE,
2019/10/23 11:00:00 JST,14.67833502,2.468727529,0.044437096,118.2457356,363.7881401,429.586,295.6786832,20.99876889,24.1555128,13.98279785,15.14008601,17.34872526,10.23526096,31.15513828,32.74942982,28.63565789,31.5851819,33.14797368,27.31682456,50.22924342,52.96804386,47.89699123,54.78619396,61.02746491,51.60457018,18.11023327,19.34684165,16.0117047,393.0960648,405.2777778,385.0833333,TRUE,
2019/10/23 13:00:00 JST,11.13269099,1.958618317,0.03525513,109.8248325,390.596466,446.299905,317.0049225,17.51670863,22.34827185,14.82426152,12.62512937,16.08921473,10.6783621,32.37757956,33.31634942,30.9520614,32.01756226,32.68246394,30.64651754,55.89242154,62.39456676,47.96151754,62.68798282,68.74488791,53.34811404,21.25004844,23.50163699,18.23928915,375.8958333,393.4444444,361.25,TRUE,
2019/10/23 15:00:00 JST,6.231762679,1.304452602,0.023480147,97.78074753,199.182438,394.0097895,54.27049318,12.82545087,16.17932697,9.269090489,9.365565729,11.72719099,6.828545581,28.13491851,30.5312193,25.57997222,27.73082176,30.21334211,25.4025731,57.77762976,66.08328606,52.44067544,65.5573413,71.06978899,61.35661404,17.58036531,19.0688445,16.76113464,409.5362319,417.8888889,397.9444444,TRUE,
2019/10/23 17:00:00 JST,0.447573329,0.215943406,0.003886981,23.38844679,19.97592235,50.38816862,0,8.878585301,9.933748216,7.516288499,6.567304412,7.336370213,5.584495635,24.0625681,25.41973538,22.54482456,24.16511172,25.27467836,22.88427193,68.15164344,72.7657193,64.65377534,70.20665404,72.7072807,67.6048694,15.44952542,16.71639977,14.87391325,432.8908213,456.7333333,418.8611111,TRUE,
2019/10/23 19:00:00 JST,-0.445543713,0.034795079,0.000626311,5.597841059,0,0,0,6.187599985,7.382944246,5.297736668,4.616290452,5.488160409,3.963224286,21.31591265,22.37841228,20.66959649,21.6103856,22.73462281,20.83915789,75.71148794,77.27031579,73.12238596,75.78888962,78.23932456,72.94958772,14.40664271,14.79659884,14.11425268,470.2333333,477.8055556,459.5,TRUE,
